"species"	"species2"	"author"	"group"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.4	2.744	9	0.03991840971	0.508	0.137	0.0145475254	0.82	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.66	4.574296	12	0.04738338151	0.505	0.1496666667	0.01035861726	1.15	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.55	3.723875	16	0.0492196256	0.48	0.1565	NA	1.28	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.7	4.913	12	0.05004576379	0.5242	0.151	0.01018639605	1.04	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.67	4.657463	8	0.0524027535	0.51425	0.15575	0.01125135154	1.38	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.82	6.028568	12	0.06458086844	0.513	0.1733333333	0.01071247242	1.33	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.51	3.442951	10	0.06544587425	0.5153333333	0.1736666667	0.01900865689	1.06	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.76	5.451776	11	0.07642721064	0.5446666667	0.183	0.01401877308	1.29	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.56	3.796416	12	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.74	5.268024	14	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.71	5.000211	16	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.48	3.241792	21	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.39	2.685619	12	0.02380399111	0.4166666667	0.1166666667	0.008863502645	0.81	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.3	2.197	11	0.02473343111	0.41	0.12	0.01125782026	1.19	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.31	2.248091	12	0.02591965333	0.4475	0.1175	0.01152962817	0.78	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.72	5.088448	22	0.02994164445	0.42	0.13	0.005884239055	NA	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.58	3.944312	14	0.03178044434	0.439625	0.131225	0.008057284601	0.9	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.33	2.352637	13	0.03615682787	0.4275	0.142	0.01536863863	0.86	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.7	4.913	13	0.03696732467	0.495	0.1335	0.007524389308	1.18	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.43	2.924207	14	0.03833258411	0.418	0.148	0.01310871088	0.71	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.76	5.451776	13	0.045072816	0.504	0.146	0.008267547309	1.42	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.44	2.985984	15	0.04715861334	0.44	0.16	0.01579332419	NA	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.52	3.511808	13	0.04977946667	0.5	0.154	0.01417488276	1.14	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.49	3.307949	15	0.0520330656	0.4275	0.1705	0.01572970611	0.61	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.57	3.869893	9	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.37	2.571353	9	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_perissopoda"	"Drosophila_basimacula"	"Sari"	"amc"	1.26	2.000376	10	NA	NA	NA	NA	NA	NA	NA	NA
